Iter  Part1  Part2  Part3  Part4  Part5  Part6  Part7  Part8  Part9  Part10  Part11  Part12  Part13  Part14  Part15  Part16  Part17  Part18  Part19  Part20  Part21  Part22  Part23  Part24  Part25  Part26  Part27  Part28  Part29  Part30  Part31  Part32  Part33  Part34  Part35  Part36  Part37  Part38  Part39  Part40  
21   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01  
22   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01  
23   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01  
24   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01  
25   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01  
26   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01  
27   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01  
28   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01  
29   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01  
30   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01   1.6438954E+01  
