Iter  GoF  Param1  Param2  Param3  Param4  Param5  Param6  Param7  Param8  Param9  Param10  
43   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
44   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
45   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
46   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
47   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
48   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
49   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
50   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
51   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
52   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
53   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
54   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
